Feature,Importance
fault_roll5_sum,0.68054503
fault_code_count_roll5_mean,0.2056727
cumulative_faults,0.011224704
temperature_sensor_2_roll5_mean,0.00908672
vibration_sensor_roll3_mean,0.0082370145
vibration_sensor_roll5_mean,0.008140102
fault_code_count_roll3_mean,0.0071691824
temperature_sensor_1_roll5_mean,0.004666304
sensor_drift_flag,0.004117463
flight_cycles,0.0040921965
temperature_sensor_1_roll3_mean,0.0040405504
hours_per_cycle,0.0032448291
fault_code_count,0.003160144
engine_hours,0.0027988674
vib_x_temp1,0.0027520715
pressure_sensor_roll3_std,0.0027241712
fault_code_count_roll3_std,0.0027225404
temperature_sensor_2_roll3_mean,0.0026807683
temperature_sensor_1_roll3_std,0.0024395727
maintenance_log_flag,0.0023251066
