aircraft_id,component_id,flight_cycles,failure_within_10_cycles,risk_score,risk_tier,alert
AC00,Engine2,1.0,0.0,5.289646e-05,LOW,0
AC00,Engine2,5.0,0.0,5.1956824e-05,LOW,0
AC00,Engine2,8.0,0.0,5.6595047e-05,LOW,0
AC00,Engine2,10.0,0.0,4.9106286e-05,LOW,0
AC00,Engine2,14.0,0.0,8.690087e-05,LOW,0
AC00,Engine2,17.0,0.0,2.7837903e-05,LOW,0
AC00,Engine2,20.0,0.0,4.0680297e-05,LOW,0
AC00,Engine2,21.0,0.0,6.755036e-05,LOW,0
AC00,Engine2,25.0,0.0,2.7582788e-05,LOW,0
AC00,Engine2,26.0,0.0,4.6456185e-05,LOW,0
AC00,Engine2,27.0,0.0,6.313087e-05,LOW,0
AC00,Engine2,30.0,0.0,6.322546e-05,LOW,0
AC00,Engine2,33.0,0.0,7.558608e-05,LOW,0
AC00,Engine2,35.0,0.0,3.867486e-05,LOW,0
AC00,Engine2,39.0,0.0,5.1420193e-05,LOW,0
AC00,Engine2,40.0,0.0,8.899296e-05,LOW,0
AC00,Engine2,42.0,0.0,0.00010508269,LOW,0
AC00,Engine2,45.0,0.0,2.8222958e-05,LOW,0
AC00,Engine2,49.0,0.0,5.6447152e-05,LOW,0
AC00,Engine2,53.0,0.0,0.00017598436,LOW,0
AC00,Engine2,55.0,0.0,0.00041127586,LOW,0
AC00,Engine2,58.0,0.0,8.969379e-05,LOW,0
AC00,Engine2,62.0,0.0,8.839888e-05,LOW,0
AC00,Engine2,64.0,0.0,0.00060188124,LOW,0
AC00,Engine2,65.0,0.0,5.3435757e-05,LOW,0
AC00,Engine2,69.0,0.0,3.59778e-05,LOW,0
AC00,Engine2,72.0,0.0,0.00027644582,LOW,0
AC00,Engine2,75.0,0.0,5.7058052e-05,LOW,0
AC00,Engine2,79.0,0.0,9.053446e-05,LOW,0
AC00,Engine2,82.0,0.0,6.21533e-05,LOW,0
AC00,Engine2,84.0,0.0,4.5250436e-05,LOW,0
AC00,Engine2,86.0,0.0,4.448037e-05,LOW,0
AC00,Engine2,87.0,0.0,4.6509293e-05,LOW,0
AC00,Engine2,91.0,0.0,3.1379222e-05,LOW,0
AC00,Engine2,95.0,0.0,5.4423723e-05,LOW,0
AC00,Engine2,98.0,0.0,3.7310074e-05,LOW,0
AC00,Engine2,99.0,0.0,3.7472135e-05,LOW,0
AC00,Engine2,102.0,0.0,5.007883e-05,LOW,0
AC00,Engine2,106.0,0.0,6.182422e-05,LOW,0
AC00,Engine2,107.0,0.0,6.259351e-05,LOW,0
AC00,Engine2,110.0,0.0,0.000114839495,LOW,0
AC00,Engine2,113.0,0.0,4.6556506e-05,LOW,0
AC00,Engine2,115.0,0.0,5.182727e-05,LOW,0
AC00,Engine2,116.0,0.0,4.983415e-05,LOW,0
AC00,Engine2,117.0,0.0,2.8374488e-05,LOW,0
AC00,Engine2,120.0,0.0,3.2043354e-05,LOW,0
AC00,Engine2,122.0,0.0,2.8849056e-05,LOW,0
AC00,Engine2,124.0,0.0,5.7675017e-05,LOW,0
AC00,Engine2,125.0,0.0,5.755168e-05,LOW,0
AC00,Engine2,127.0,0.0,8.815753e-05,LOW,0
AC00,Engine2,130.0,0.0,5.4431406e-05,LOW,0
AC00,Engine2,132.0,0.0,6.9306116e-05,LOW,0
AC00,Engine2,133.0,0.0,5.1131887e-05,LOW,0
AC00,Engine2,136.0,0.0,3.449318e-05,LOW,0
AC00,Engine2,140.0,0.0,4.7013633e-05,LOW,0
AC00,Engine2,141.0,0.0,6.4129745e-05,LOW,0
AC00,Engine2,145.0,0.0,4.832315e-05,LOW,0
AC00,Engine2,146.0,0.0,4.0317223e-05,LOW,0
AC00,Engine2,148.0,0.0,5.6014895e-05,LOW,0
AC00,Engine2,149.0,0.0,5.270809e-05,LOW,0
AC00,Engine2,153.0,0.0,5.454879e-05,LOW,0
AC00,Engine2,157.0,0.0,4.1066924e-05,LOW,0
AC00,Engine2,158.0,0.0,3.9657192e-05,LOW,0
AC00,Engine2,160.0,0.0,4.8879825e-05,LOW,0
AC00,Engine2,163.0,0.0,5.2661868e-05,LOW,0
AC00,Engine2,164.0,0.0,7.3311305e-05,LOW,0
AC00,Engine2,167.0,0.0,5.3479034e-05,LOW,0
AC00,Engine2,171.0,0.0,2.9763603e-05,LOW,0
AC00,Engine2,172.0,0.0,4.0043105e-05,LOW,0
AC00,Engine2,175.0,0.0,3.2145123e-05,LOW,0
AC00,Engine2,179.0,0.0,7.407681e-05,LOW,0
AC00,Engine2,181.0,0.0,5.0311035e-05,LOW,0
AC00,Engine2,184.0,0.0,9.702451e-05,LOW,0
AC00,Engine2,188.0,0.0,0.00014217838,LOW,0
AC00,Engine2,190.0,0.0,7.4968586e-05,LOW,0
AC00,Engine2,193.0,0.0,2.8117945e-05,LOW,0
AC00,Engine2,194.0,0.0,3.767681e-05,LOW,0
AC00,Engine2,198.0,0.0,4.2974032e-05,LOW,0
AC00,Engine2,199.0,0.0,5.9602145e-05,LOW,0
AC00,Engine2,203.0,0.0,3.1137915e-05,LOW,0
AC00,Engine2,204.0,0.0,2.7641981e-05,LOW,0
AC00,Engine2,206.0,0.0,5.5576416e-05,LOW,0
AC00,Engine2,209.0,0.0,6.463343e-05,LOW,0
AC00,Engine2,213.0,0.0,7.759602e-05,LOW,0
AC00,Engine2,214.0,0.0,7.734056e-05,LOW,0
AC00,Engine2,216.0,0.0,4.1703264e-05,LOW,0
AC00,Engine2,217.0,0.0,5.8271093e-05,LOW,0
AC00,Engine2,220.0,0.0,4.9061488e-05,LOW,0
AC00,Engine2,223.0,0.0,9.414141e-05,LOW,0
AC00,Engine2,226.0,0.0,3.1255695e-05,LOW,0
AC00,Engine2,228.0,0.0,5.2686682e-05,LOW,0
AC00,Engine2,231.0,0.0,8.0231715e-05,LOW,0
AC00,Engine2,232.0,0.0,5.846217e-05,LOW,0
AC00,Engine2,234.0,0.0,6.4553715e-05,LOW,0
AC00,Engine2,237.0,0.0,4.6186466e-05,LOW,0
AC00,Engine2,241.0,0.0,7.834131e-05,LOW,0
AC00,Engine2,242.0,0.0,3.4874174e-05,LOW,0
AC00,Engine2,246.0,0.0,4.834569e-05,LOW,0
AC00,Engine2,247.0,0.0,2.7971224e-05,LOW,0
AC00,Engine2,249.0,0.0,3.4224824e-05,LOW,0
AC00,Engine2,250.0,0.0,4.3554443e-05,LOW,0
AC00,Engine2,253.0,0.0,6.3357824e-05,LOW,0
AC00,Engine2,257.0,0.0,5.4728185e-05,LOW,0
AC00,Engine2,261.0,0.0,8.2027276e-05,LOW,0
AC00,Engine2,262.0,0.0,5.585903e-05,LOW,0
AC00,Engine2,263.0,0.0,0.00022969257,LOW,0
AC00,Engine2,266.0,0.0,3.0236191e-05,LOW,0
AC00,Engine2,267.0,0.0,3.9362512e-05,LOW,0
AC00,Engine2,271.0,0.0,4.624323e-05,LOW,0
AC00,Engine2,274.0,0.0,3.067986e-05,LOW,0
AC00,Engine2,277.0,0.0,4.2912317e-05,LOW,0
AC00,Engine2,279.0,0.0,3.185755e-05,LOW,0
AC00,Engine2,282.0,0.0,6.890019e-05,LOW,0
AC00,Engine2,283.0,0.0,4.9008693e-05,LOW,0
AC00,Engine2,284.0,0.0,2.4083954e-05,LOW,0
AC00,Engine2,288.0,0.0,2.847734e-05,LOW,0
AC00,Engine2,290.0,0.0,8.979323e-05,LOW,0
AC00,Engine2,291.0,0.0,3.8832073e-05,LOW,0
AC00,Engine2,293.0,0.0,4.3817112e-05,LOW,0
AC00,Engine2,296.0,0.0,3.8438437e-05,LOW,0
AC00,Engine2,298.0,0.0,8.6658496e-05,LOW,0
AC00,Engine2,302.0,0.0,3.0010626e-05,LOW,0
AC00,Engine2,305.0,0.0,4.3328168e-05,LOW,0
AC00,Engine2,307.0,0.0,4.925444e-05,LOW,0
AC00,Engine2,310.0,0.0,7.773956e-05,LOW,0
AC00,Engine2,313.0,0.0,7.896489e-05,LOW,0
AC00,Engine2,316.0,0.0,5.1002542e-05,LOW,0
AC00,Engine2,317.0,0.0,5.1257648e-05,LOW,0
AC00,Engine2,321.0,0.0,4.73894e-05,LOW,0
AC00,Engine2,325.0,0.0,4.215421e-05,LOW,0
AC00,Engine2,327.0,0.0,5.7141915e-05,LOW,0
AC00,Engine2,330.0,0.0,0.00014986083,LOW,0
AC00,Engine2,332.0,0.0,0.00028394887,LOW,0
AC00,Engine2,333.0,0.0,0.000121128374,LOW,0
AC00,Engine2,335.0,0.0,0.0005555043,LOW,0
AC00,Engine2,339.0,0.0,0.0004860068,LOW,0
AC00,Engine2,341.0,0.0,0.00030309302,LOW,0
AC00,Engine2,344.0,0.0,0.00022939056,LOW,0
AC00,Engine2,348.0,0.0,0.00031844949,LOW,0
AC00,Engine2,349.0,0.0,0.00060310494,LOW,0
AC00,Engine2,353.0,0.0,0.0001718553,LOW,0
AC00,Engine2,355.0,0.0,0.00016349478,LOW,0
AC00,Engine2,358.0,0.0,8.414876e-05,LOW,0
AC00,Engine2,362.0,0.0,0.0001649594,LOW,0
AC00,Engine2,364.0,0.0,0.00011914667,LOW,0
AC00,Engine2,365.0,0.0,0.000105827225,LOW,0
AC00,Engine2,369.0,0.0,8.035759e-05,LOW,0
AC00,Engine2,370.0,0.0,6.8056506e-05,LOW,0
AC00,Engine2,373.0,0.0,0.00025657137,LOW,0
AC00,Engine2,375.0,0.0,0.0001011828,LOW,0
AC00,LandingGear,1.0,0.0,0.00032792895,LOW,0
AC00,LandingGear,2.0,0.0,0.00010608183,LOW,0
AC00,LandingGear,3.0,0.0,0.00015905364,LOW,0
AC00,LandingGear,7.0,0.0,4.502669e-05,LOW,0
AC00,LandingGear,8.0,0.0,2.458302e-05,LOW,0
AC00,LandingGear,11.0,0.0,3.971055e-05,LOW,0
AC00,LandingGear,12.0,0.0,1.32759815e-05,LOW,0
AC00,LandingGear,14.0,0.0,4.2614338e-05,LOW,0
AC00,LandingGear,16.0,0.0,3.614069e-05,LOW,0
AC00,LandingGear,18.0,0.0,3.585634e-05,LOW,0
AC00,LandingGear,20.0,0.0,4.870771e-05,LOW,0
AC00,LandingGear,21.0,0.0,2.1637268e-05,LOW,0
AC00,LandingGear,24.0,0.0,4.0155643e-05,LOW,0
AC00,LandingGear,27.0,0.0,2.5371963e-05,LOW,0
AC00,LandingGear,31.0,0.0,3.7800935e-05,LOW,0
AC00,LandingGear,34.0,0.0,4.0520434e-05,LOW,0
AC00,LandingGear,36.0,0.0,0.00010061637,LOW,0
AC00,LandingGear,37.0,0.0,4.253537e-05,LOW,0
AC00,LandingGear,39.0,0.0,9.830064e-05,LOW,0
AC00,LandingGear,43.0,0.0,4.0627456e-05,LOW,0
AC00,LandingGear,44.0,0.0,3.341683e-05,LOW,0
AC00,LandingGear,47.0,0.0,3.373613e-05,LOW,0
AC00,LandingGear,48.0,0.0,3.3912216e-05,LOW,0
AC00,LandingGear,49.0,0.0,4.1123512e-05,LOW,0
AC00,LandingGear,53.0,0.0,2.6611267e-05,LOW,0
AC00,LandingGear,55.0,0.0,4.275591e-05,LOW,0
AC00,LandingGear,58.0,0.0,3.8632577e-05,LOW,0
AC00,LandingGear,59.0,0.0,4.266508e-05,LOW,0
AC00,LandingGear,63.0,0.0,5.1320792e-05,LOW,0
AC00,LandingGear,66.0,0.0,4.328551e-05,LOW,0
AC00,LandingGear,67.0,0.0,2.8723764e-05,LOW,0
AC00,LandingGear,71.0,0.0,4.1760097e-05,LOW,0
AC00,LandingGear,73.0,0.0,3.0721436e-05,LOW,0
AC00,LandingGear,74.0,0.0,3.3151668e-05,LOW,0
AC00,LandingGear,77.0,0.0,3.2186257e-05,LOW,0
AC00,LandingGear,80.0,0.0,2.2741886e-05,LOW,0
AC00,LandingGear,82.0,0.0,2.8780194e-05,LOW,0
AC00,LandingGear,84.0,0.0,3.0089406e-05,LOW,0
AC00,LandingGear,87.0,0.0,7.3146715e-05,LOW,0
AC00,LandingGear,90.0,0.0,8.747697e-05,LOW,0
AC00,LandingGear,91.0,0.0,2.8386426e-05,LOW,0
AC00,LandingGear,93.0,0.0,0.000111731904,LOW,0
AC00,LandingGear,96.0,0.0,1.9930483e-05,LOW,0
AC00,LandingGear,97.0,0.0,4.9579274e-05,LOW,0
AC00,LandingGear,101.0,0.0,3.531288e-05,LOW,0
AC00,LandingGear,103.0,0.0,8.084358e-05,LOW,0
AC00,LandingGear,106.0,0.0,4.4912573e-05,LOW,0
AC00,LandingGear,110.0,0.0,4.7329602e-05,LOW,0
AC00,LandingGear,112.0,0.0,4.7714308e-05,LOW,0
AC00,LandingGear,113.0,0.0,5.2549396e-05,LOW,0
AC00,LandingGear,114.0,0.0,3.0769024e-05,LOW,0
AC00,LandingGear,118.0,0.0,4.165406e-05,LOW,0
AC00,LandingGear,120.0,0.0,4.6203644e-05,LOW,0
AC00,LandingGear,124.0,0.0,5.177481e-05,LOW,0
AC00,LandingGear,125.0,0.0,3.377299e-05,LOW,0
AC00,LandingGear,127.0,0.0,1.8031467e-05,LOW,0
AC00,LandingGear,130.0,0.0,2.7186392e-05,LOW,0
AC00,LandingGear,134.0,0.0,3.097502e-05,LOW,0
AC00,LandingGear,136.0,0.0,1.7488142e-05,LOW,0
AC00,LandingGear,139.0,0.0,3.1740197e-05,LOW,0
AC00,LandingGear,143.0,0.0,5.3601987e-05,LOW,0
AC00,LandingGear,147.0,0.0,5.4371387e-05,LOW,0
AC00,LandingGear,148.0,0.0,0.00014987156,LOW,0
AC00,LandingGear,150.0,0.0,6.496166e-05,LOW,0
AC00,LandingGear,154.0,0.0,5.588194e-05,LOW,0
AC00,LandingGear,157.0,0.0,4.628117e-05,LOW,0
AC00,LandingGear,161.0,0.0,4.686721e-05,LOW,0
AC00,LandingGear,162.0,0.0,3.3410233e-05,LOW,0
AC00,LandingGear,165.0,0.0,5.4205047e-05,LOW,0
AC00,LandingGear,166.0,0.0,4.705562e-05,LOW,0
AC00,LandingGear,167.0,0.0,4.2858333e-05,LOW,0
AC00,LandingGear,169.0,0.0,4.448834e-05,LOW,0
AC00,LandingGear,172.0,0.0,4.412666e-05,LOW,0
AC00,LandingGear,174.0,0.0,3.8280697e-05,LOW,0
AC00,LandingGear,176.0,0.0,0.000107104475,LOW,0
AC00,LandingGear,180.0,0.0,3.9373477e-05,LOW,0
AC00,LandingGear,182.0,0.0,0.00016723268,LOW,0
AC00,LandingGear,184.0,0.0,0.00011439684,LOW,0
AC00,LandingGear,186.0,0.0,0.0001309511,LOW,0
AC00,LandingGear,189.0,0.0,3.971256e-05,LOW,0
AC00,LandingGear,191.0,0.0,5.4762117e-05,LOW,0
AC00,LandingGear,193.0,0.0,1.5034494e-05,LOW,0
AC00,LandingGear,195.0,0.0,5.2521336e-05,LOW,0
AC00,LandingGear,197.0,0.0,3.411579e-05,LOW,0
AC00,LandingGear,199.0,0.0,3.6109825e-05,LOW,0
AC00,LandingGear,201.0,0.0,3.635362e-05,LOW,0
AC00,LandingGear,205.0,0.0,4.6782236e-05,LOW,0
AC00,LandingGear,209.0,0.0,2.6381833e-05,LOW,0
AC00,LandingGear,210.0,0.0,3.6830043e-05,LOW,0
AC00,LandingGear,212.0,0.0,2.6703754e-05,LOW,0
AC00,LandingGear,216.0,0.0,2.4744582e-05,LOW,0
AC00,LandingGear,218.0,0.0,5.0301005e-05,LOW,0
AC00,LandingGear,221.0,0.0,2.756333e-05,LOW,0
AC00,LandingGear,224.0,0.0,3.1090498e-05,LOW,0
AC00,LandingGear,228.0,0.0,3.3956618e-05,LOW,0
AC00,LandingGear,230.0,0.0,3.1601267e-05,LOW,0
AC00,LandingGear,232.0,0.0,5.2983647e-05,LOW,0
AC00,LandingGear,235.0,0.0,0.00011854231,LOW,0
AC00,LandingGear,239.0,0.0,3.9847113e-05,LOW,0
AC00,LandingGear,240.0,0.0,2.4540905e-05,LOW,0
AC00,LandingGear,243.0,0.0,4.720425e-05,LOW,0
AC00,LandingGear,245.0,0.0,2.5911677e-05,LOW,0
AC00,LandingGear,248.0,0.0,4.755713e-05,LOW,0
AC00,LandingGear,252.0,0.0,6.367612e-05,LOW,0
AC00,LandingGear,255.0,0.0,6.805313e-05,LOW,0
AC00,LandingGear,256.0,0.0,8.999545e-05,LOW,0
AC00,LandingGear,259.0,0.0,4.742258e-05,LOW,0
AC00,LandingGear,261.0,0.0,3.260536e-05,LOW,0
AC00,LandingGear,264.0,0.0,2.9568258e-05,LOW,0
AC00,LandingGear,267.0,0.0,3.188743e-05,LOW,0
AC00,LandingGear,268.0,0.0,7.721757e-05,LOW,0
AC00,LandingGear,270.0,0.0,3.7943886e-05,LOW,0
AC00,LandingGear,274.0,0.0,3.567802e-05,LOW,0
AC00,LandingGear,278.0,0.0,3.4225544e-05,LOW,0
AC00,LandingGear,280.0,0.0,6.148732e-05,LOW,0
AC00,LandingGear,284.0,0.0,8.601992e-05,LOW,0
AC00,LandingGear,285.0,0.0,4.6315963e-05,LOW,0
AC00,LandingGear,286.0,0.0,3.7218673e-05,LOW,0
AC00,LandingGear,290.0,0.0,0.0004125245,LOW,0
AC00,LandingGear,291.0,0.0,8.956738e-05,LOW,0
AC00,LandingGear,292.0,0.0,0.00021086435,LOW,0
AC00,LandingGear,295.0,0.0,0.0004068344,LOW,0
AC00,LandingGear,299.0,0.0,0.011166389,LOW,0
AC00,LandingGear,301.0,0.0,0.122076236,LOW,0
AC00,LandingGear,303.0,0.0,0.114837505,LOW,0
AC00,LandingGear,306.0,1.0,0.97626513,CRITICAL,1
AC00,LandingGear,309.0,1.0,0.9992091,CRITICAL,1
AC00,LandingGear,310.0,1.0,0.9997044,CRITICAL,1
AC00,LandingGear,312.0,1.0,0.99965084,CRITICAL,1
AC00,LandingGear,315.0,1.0,0.99951744,CRITICAL,1
AC00,LandingGear,316.0,1.0,0.9975962,CRITICAL,1
AC00,LandingGear,318.0,1.0,0.99907,CRITICAL,1
AC00,LandingGear,320.0,1.0,0.9990939,CRITICAL,1
AC00,LandingGear,323.0,1.0,0.99878126,CRITICAL,1
AC00,LandingGear,327.0,1.0,0.9989267,CRITICAL,1
AC00,LandingGear,331.0,0.0,0.035914782,LOW,0
AC00,LandingGear,334.0,0.0,0.033453505,LOW,0
AC00,LandingGear,336.0,0.0,0.025815293,LOW,0
AC00,LandingGear,337.0,0.0,0.021810858,LOW,0
AC00,LandingGear,339.0,0.0,0.037739754,LOW,0
AC00,LandingGear,342.0,0.0,0.01425214,LOW,0
AC00,LandingGear,343.0,0.0,0.05046725,LOW,0
AC00,LandingGear,344.0,0.0,0.00026802017,LOW,0
AC00,LandingGear,348.0,0.0,0.00020216068,LOW,0
AC00,LandingGear,350.0,0.0,0.0004085879,LOW,0
AC00,LandingGear,351.0,0.0,0.0041178763,LOW,0
AC00,LandingGear,352.0,0.0,5.2526295e-05,LOW,0
AC00,LandingGear,354.0,0.0,5.0349383e-05,LOW,0
AC00,LandingGear,357.0,0.0,5.708124e-05,LOW,0
AC00,LandingGear,359.0,0.0,1.881864e-05,LOW,0
AC01,Engine2,2.0,0.0,0.0006607327,LOW,0
AC01,Engine2,4.0,0.0,0.00012426458,LOW,0
AC01,Engine2,8.0,0.0,6.9969785e-05,LOW,0
AC01,Engine2,10.0,0.0,0.0001231024,LOW,0
AC01,Engine2,13.0,0.0,2.2681003e-05,LOW,0
AC01,Engine2,16.0,0.0,3.068993e-05,LOW,0
AC01,Engine2,18.0,0.0,4.3648535e-05,LOW,0
AC01,Engine2,22.0,0.0,0.00013336202,LOW,0
AC01,Engine2,25.0,0.0,2.8520579e-05,LOW,0
AC01,Engine2,28.0,0.0,6.306931e-05,LOW,0
AC01,Engine2,32.0,0.0,5.1566425e-05,LOW,0
AC01,Engine2,36.0,0.0,0.0001300064,LOW,0
AC01,Engine2,39.0,0.0,5.143829e-05,LOW,0
AC01,Engine2,42.0,0.0,0.00012503479,LOW,0
AC01,Engine2,44.0,0.0,0.000121294695,LOW,0
AC01,Engine2,48.0,0.0,6.1827996e-05,LOW,0
AC01,Engine2,51.0,0.0,0.00011261071,LOW,0
AC01,Engine2,55.0,0.0,3.4737623e-05,LOW,0
AC01,Engine2,58.0,0.0,7.965964e-05,LOW,0
AC01,Engine2,60.0,0.0,4.132062e-05,LOW,0
AC01,Engine2,61.0,0.0,0.0002080808,LOW,0
AC01,Engine2,64.0,0.0,0.00015517106,LOW,0
AC01,Engine2,65.0,0.0,0.0001529972,LOW,0
AC01,Engine2,67.0,0.0,4.629759e-05,LOW,0
AC01,Engine2,70.0,0.0,8.586617e-05,LOW,0
AC01,Engine2,71.0,0.0,8.1839295e-05,LOW,0
AC01,Engine2,72.0,0.0,7.488499e-05,LOW,0
AC01,Engine2,74.0,0.0,4.9599894e-05,LOW,0
AC01,Engine2,76.0,0.0,4.9580736e-05,LOW,0
AC01,Engine2,79.0,0.0,8.826832e-05,LOW,0
AC01,Engine2,82.0,0.0,8.47635e-05,LOW,0
AC01,Engine2,83.0,0.0,0.00011470597,LOW,0
AC01,Engine2,86.0,0.0,0.0006979922,LOW,0
AC01,Engine2,88.0,0.0,0.0004974209,LOW,0
AC01,Engine2,89.0,0.0,0.0014242742,LOW,0
AC01,Engine2,93.0,0.0,0.00056419085,LOW,0
AC01,Engine2,94.0,0.0,0.0011841677,LOW,0
AC01,Engine2,95.0,0.0,0.00034038944,LOW,0
AC01,Engine2,99.0,0.0,0.00022366147,LOW,0
AC01,Engine2,102.0,0.0,6.1716775e-05,LOW,0
AC01,Engine2,103.0,0.0,6.344276e-05,LOW,0
AC01,Engine2,104.0,0.0,3.607076e-05,LOW,0
AC01,Engine2,106.0,0.0,6.066222e-05,LOW,0
AC01,Engine2,108.0,0.0,2.4477797e-05,LOW,0
AC01,Engine2,109.0,0.0,4.22402e-05,LOW,0
AC01,Engine2,113.0,0.0,3.022754e-05,LOW,0
AC01,Engine2,115.0,0.0,7.152159e-05,LOW,0
AC01,Engine2,119.0,0.0,2.9789187e-05,LOW,0
AC01,Engine2,122.0,0.0,6.743792e-05,LOW,0
AC01,Engine2,123.0,0.0,5.5037188e-05,LOW,0
AC01,Engine2,124.0,0.0,2.9696184e-05,LOW,0
AC01,Engine2,125.0,0.0,1.9545801e-05,LOW,0
AC01,Engine2,128.0,0.0,9.261814e-05,LOW,0
AC01,Engine2,131.0,0.0,0.0005072339,LOW,0
AC01,Engine2,135.0,0.0,0.00021394098,LOW,0
AC01,Engine2,139.0,0.0,5.2507014e-05,LOW,0
AC01,Engine2,140.0,0.0,6.2310864e-05,LOW,0
AC01,Engine2,144.0,0.0,4.051232e-05,LOW,0
AC01,Engine2,147.0,0.0,8.965642e-05,LOW,0
AC01,Engine2,150.0,0.0,3.2562883e-05,LOW,0
AC01,Engine2,153.0,0.0,5.3880467e-05,LOW,0
AC01,Engine2,155.0,0.0,4.0905146e-05,LOW,0
AC01,Engine2,156.0,0.0,3.828296e-05,LOW,0
AC01,Engine2,160.0,0.0,2.981855e-05,LOW,0
AC01,Engine2,164.0,0.0,0.00012192228,LOW,0
AC01,Engine2,167.0,0.0,0.00015287311,LOW,0
AC01,Engine2,170.0,0.0,0.00011755534,LOW,0
AC01,Engine2,174.0,0.0,7.2790936e-05,LOW,0
AC01,Engine2,176.0,0.0,5.2443665e-05,LOW,0
AC01,Engine2,180.0,0.0,3.208289e-05,LOW,0
AC01,Engine2,183.0,0.0,2.882087e-05,LOW,0
AC01,Engine2,187.0,0.0,4.254076e-05,LOW,0
AC01,Engine2,190.0,0.0,2.8268536e-05,LOW,0
AC01,Engine2,194.0,0.0,5.3877797e-05,LOW,0
